Function name; Absolute error; Relative error; Real range; Time
azimuth;1.9734658261191542e-13;;[-21.532210725570337, 21.532210725570337];5736
bspline3;1.0639637319324417e-16;;[-0.16666666666666666, 0.0625];5736
carbonGas;3.5877290384121776e-08;;[-5799891.216, 3.159230584E7];5736
carthesianToPolar_theta;4.518418198235524e-11;;[-8447.357607248829, 8447.953927158036];5736
cav10;2.3418766925686904e-15;;[0.0, 3.0117530822753906];5736
complex_sine_cosine;3.724754450490231e-11;;[-11013.232874703395, 11013.232874703395];5737
delta;2.18870177207009e-12;;[-333.30784088064, 844.846396058624];5737
delta4;1.0002416672705295e-13;;[-24.90072064, 77.08501568];5737
doppler1;1.2852513956990104e-12;;[-282.4762120545625, 133.53913086064713];5737
doppler2;3.469995087034909e-10;;[-5261.298637771603, 2825.3343906378554];5737
doppler3;2.4302303990900076e-13;;[-115.16170729854939, 44.350052058203175];5737
exp1x_32;3.856867749874015e-13;;[-30.629187733985127, 63.98401801586732];5738
exp1x_log;2.7406391569315617e-12;;[-30.76440240848915, 64.20064306217857];5738
exp1x;3.856867749874015e-13;;[-30.629187733985127, 63.98401801586732];5738
floudas;8.881784197001252e-16;;[0.0, 5.0];5738
floudas1;4.4941828036826337e-13;;[-509.0, 156.0];5738
floudas2;1.1102230246251565e-15;;[-7.0, 0.0];5738
floudas3;1.5765166949677223e-14;;[-38.25, 0.0];5738
hartman3;6.650864758683868e-10;0.047785412846853816;[-30371.189968785075, -1.3918190431877286E-8];5739
hartman6;9.741628776089375e-10;0.5164186018956521;[-36149.57606703913, -1.886382237264523E-9];5739
himmilbeau;1.0000889005823412e-12;;[-462.5, 890.0];5739
i6;1.2656542480726785e-14;;[-1.0, 1.0];5739
intro_example;1.1362993745936219e-10;;[-498.5014995, 998.25149925];5739
jacobisMethodX1;1.1552759526821084e-08;;[-9498.699965, 14499.700015];5739
jacobisMethodX2;9.776402687417677e-09;;[-10498.699975, 13499.500025];5740
jacobisMethodX3;1.1552759526821084e-08;;[-9498.699965, 14499.700015];5740
jacobisMethodX4;9.776402687417677e-09;;[-10498.699975, 13499.500025];5740
kepler0;9.063860773039779e-14;2.955863805452576e-14;[3.0664, 102.8708];5740
kepler1;4.3799168736313735e-13;;[-288.15184, 89.927712];5740
kepler2;2.1929896121264396e-12;;[-337.61856, 850.310096];5740
logexp;3.3304033073481607e-12;9.929457447679974e-09;[3.354063728956623E-4, 8.000335406372898];5740
matrixDeterminant;3.502975687297294e-12;;[-6000.0, 6000.0];5741
matrixDeterminant2;3.502975687297294e-12;;[-6000.0, 6000.0];5741
matrixDeterminant2modified;2.033673229817623e-11;;[-28951.25, 32530.0];5741
nmse_example_3_1;1.4598445386619387e-14;;[-0.6543718178893901, 1.7775960465371874];5741
nmse_example_3_3;1.6653345369377348e-15;;[-2.0, 2.0];5741
nmse_example_3_4;1.3511790516656143e-13;;[-18.109351348889938, 29.098431490116393];5741
nmse_example_3_5;9.992007221626409e-16;;[-0.10745311880846098, 1.2146018366025517];5741
nmse_example_3_6;1.4269208526856892e-11;;[-0.546235702560342, 31.184228350995443];5741
nmse_example_3_7;2.5020399791847866e-11;;[-0.9999546000702375, 22025.46579480672];5742
nmse_example_3_8;8.887663874233524e-11;;[-63.28035661340458, 109.98030172079392];5742
nmse_example_3_10;3.159538356964295e-09;;[-9209.896157914096, 4595.538122315031];5742
nmse_p42_positive;8.323369493051335e-09;;[-9352.871262516997, 7828.906030208911];5742
