Function name; Absolute error; Relative error; Real range; Time
azimuth;1.1548454956025657e-13;;[-1.4575237092435849, 1.4575237092435849];1132
bspline3;1.0639637319324417e-16;;[-0.16666666666666666, 0.0];931
carbonGas;3.913245008146802e-08;1.8657518085392216e-14;[2097409.2, 3.434323E7];956
carthesianToPolar_radius;2.305289770426567e-12;1.6300860292686049e-12;[1.414213562373095, 141.42135623730954];899
carthesianToPolar_theta;4.155286312856552e-11;7.2525844905529e-11;[0.5729386976834481, 89.42706130231065];949
cav10;2.3418766925686904e-15;;[0.0, 3.0117530822753906];1678
complex_sine_cosine;3.724754450490231e-11;;[-11013.232874703395, 11013.232874703395];896
complex_square_root;1.6271354747651043e-10;4.683288034152426e-09;[0.03474344227601155, 3.474344227601157];981
delta4;1.160113782816552e-13;;[-75.78594048, 143.16228096];956
delta;2.346965440551685e-12;;[-866.023460192256, 1849.293256736768];1041
doppler1;4.1911988101104756e-13;1.4235228893370562e-11;[-158.7191444098274, -0.02944244059231351];1016
doppler2;1.0471093297316197e-12;5.505959283492299e-11;[-276.0765331640505, -0.019017745606492446];979
doppler3;1.682927721863026e-13;3.844664154553662e-13;[-96.29400542724778, -0.43773074947775303];974
exp1x_32;3.89239488666202e-13;1.936482674399416e-11;[0.020100334168335454, 64.87212707001284];887
exp1x_log;2.7406391569315617e-12;1.3634793998842857e-10;[0.020100334168335444, 64.87212707001498];926
exp1x;3.89239488666202e-13;1.936482674399416e-11;[0.020100334168335454, 64.87212707001284];898
floudas1;4.4941828036826337e-13;;[-509.0, 245.0];1051
floudas2;1.1102230246251565e-15;;[-7.0, 0.0];966
floudas3;1.5765166949677223e-14;;[-45.0, 9.0];904
floudas;8.881784197001252e-16;;[0.0, 5.0];894
hartman3;6.521898142418392e-10;0.048512455599358906;[-34248.20170029117, -1.3443760085615166E-8];1231
hartman6;6.675613173555248e-10;0.5594640679622537;[-31675.49951478013, -1.1932157140797187E-9];1386
himmilbeau;2.3252511027749283e-12;;[-1630.0, 3050.0];893
hypot32;2.305289770426567e-12;1.6300860292686049e-12;[1.414213562373095, 141.42135623730954];910
hypot;2.305289770426567e-12;1.6300860292686049e-12;[1.414213562373095, 141.42135623730954];939
i4modified;1.729608985901823e-14;5.469503856943821e-14;[0.3162277660168379, 5.916079783099617];891
i6;1.2656542480726785e-14;;[-1.0, 1.0];912
instantaneousCurrent;55.727205119527106;;[-600.7337914172533, 600.7337914172533];9288
intro_example;1.1362993745936219e-10;;[0.0, 999.0];839
jacobisMethodX1;1.1552759526821084e-08;;[-2999.9999, 13000.0];1022
jacobisMethodX2;9.776402687417677e-09;;[-4999.9999, 11000.0];1069
jacobisMethodX3;1.1552759526821084e-08;;[-2999.9999, 13000.0];1007
jacobisMethodX4;9.776402687417677e-09;;[-4999.9999, 11000.0];975
jetEngineModified;3.517512551317584e-08;;[-1185120.0, 2036155.0];1225
kepler0;1.0440537323574973e-13;;[-35.7792, 159.8176];993
kepler1;4.806242515087434e-13;;[-490.320768, 282.739712];987
kepler2;2.4648397101145748e-12;;[-871.597824, 1860.323072];1015
logexp;3.3304033073481607e-12;9.929457447679974e-09;[3.354063728956623E-4, 8.000335406372898];999
matrixDeterminant2modified;2.0040080705996388e-11;;[-25340.0, 31590.0];997
matrixDeterminant2;3.502975687297294e-12;;[-6000.0, 6000.0];1034
matrixDeterminant;3.502975687297294e-12;;[-6000.0, 6000.0];1050
n_bodyXmodified;461516280.6349846;;[-4.5585750092012453E8, 6.29999935434699];1280
n_bodyZmodified;15383876.021166153;;[-1.5195250029704152E7, 0.2099993543469893];1265
nmse_example_3_10;3.159538356964295e-09;2.1887720069916033e-06;[-9214.944775018344, -0.0014435210003014333];978
nmse_example_3_1;1.4709467689081902e-14;;[-2.1617777851059192, 3.2850020137537164];897
nmse_example_3_3;1.6653345369377348e-15;;[-2.0, 2.0];889
nmse_example_3_4;9.222556424467796e-14;1.8460491464824858e-11;[0.004995834721974068, 19.93313024275495];936
nmse_example_3_5;6.661338147750939e-16;;[-0.7853981633974484, 1.8925468811915391];898
nmse_example_3_6;1.4269208526856892e-11;;[-0.6832726086709355, 31.321265257106038];936
nmse_example_3_7;2.5020399791847866e-11;;[-0.9999546000702375, 22025.46579480672];894
nmse_example_3_8;8.887663874233524e-11;;[-24.02575092494063, 117.48025172054392];918
nmse_example_3_9;2.3853301182799324e-08;;[-999.3329999999781, 999.9290851556973];922
nmse_p42_positive;2.3517395675118616e-08;;[-26458.980337503162, 25827.625302982207];951
nmse_problem_3_2_1_negative;5.4749840248565186e-08;1.467017548033602e-08;[-61622.7766016838, -3.732050807568877];911
nmse_problem_3_2_1_positive;1.1270525275762623e-08;;[-12679.491924311229, 11622.776601683796];956
nmse_problem_3_3_1;1.1113615561200364e-10;;[-999.6, 0.33233433233433235];885
nmse_problem_3_3_2;4.5300498541273015e-14;;[-30.52951165105711, 30.52951165105711];934
nmse_problem_3_3_3;1.1108596820187504e-08;5.5531877170073665e-09;[-29999.49997499875, -2.000400020004];927
nmse_problem_3_3_5;1.6653345369377348e-15;;[-2.0, 2.0];845
nmse_problem_3_3_6;8.884892821470203e-12;;[-2.302485097993713, 11.608235644774554];868
nmse_problem_3_3_7;1.2732925824820995e-11;;[-1.999909200140475, 44050.93158961344];868
nmse_problem_3_4_1;4.975273526522146e-10;;[0.0, 200.0];865
nmse_problem_3_4_2;5.951218052299916e-07;;[-748.1741730206688, 0.012495781176780695];1060
nmse_problem_3_4_3;0.0006661368860574315;;[-9.903437551286089, 9.903437551286087];953
nmse_section_3_11;4.9825063494121065e-05;0.9929868889643725;[5.0176960086638916E-5, 209434.94834725597];866
nmse_section_3_5;6.759353780320927e+29;;[-1.0, 2.688117141816136E43];868
nonlin1;1.1362993745936219e-10;;[0.0, 999.0];856
nonlin2;2.4906318355892894e-09;1.86704035651371e-05;[1.334E-4, 748.875937031297];967
pendulum;4.609250046526056e-16;;[-2.05024516625, 2.05024516625];958
pid;4.750701143030334e-15;;[-14.7632824, 14.7632824];930
polarToCarthesian_x;2.408411568522537e-14;;[-10.0, 10.0];919
polarToCarthesian_y;2.408411568522537e-14;;[-10.0, 10.0];883
predatorPrey;1.7488154636295659e-16;4.691398677998233e-15;[0.03727705922396188, 0.35710168263424846];989
rigidBody1;2.948752353404416e-13;;[-705.0, 705.0];938
rigidBody2;3.6066261088762985e-11;;[-58740.0, 58740.0];956
rump_from_C;1.873181931224739e+22;;[-6.278198743490848E36, 6.249766911031234E36];1051
rump_revisited;1.6829611693332041e+22;;[-6.278198471216125E36, 6.24976663875651E36];1042
rump_with_pow;1.4442817339200178e+22;;[-6.278198743490848E36, 6.249766911031234E36];1136
runge_kutta_4;1.4210854715202004e-14;;[0.0, 100.0];3069
sec4_example;2.4906318355892894e-09;1.86704035651371e-05;[1.334E-4, 748.875937031297];969
sine_newton;4.894879840499211e-15;;[-3.571862787668259, 3.571862787668259];1075
sineOrder3;1.4510731312549944e-15;;[-2.9419084189651277, 2.9419084189651277];940
sine;1.1296729607621835e-15;;[-2.3011348046703466, 2.3011348046703466];1011
sphere;1.199040866595141e-14;;[-19.99999999999947, 19.99999999999947];947
sqroot;5.707240235963695e-16;6.827352805638813e-16;[0.8359375, 1.5625];956
sqrt_add;1.3019511689167766e-14;8.236320243355084e-13;[0.015807437428955823, 0.4142135623730951];948
squareRoot3Invalid;1.3322232239595946e-15;1.3322232239595946e-15;[1.0, 3.3166247903554003];1049
squareRoot3;1.332263188691396e-15;1.332263188691396e-15;[1.0, 3.3166247903554003];1031
sum;3.9968028886505635e-15;;[0.0, 9.0];888
test01_sum3;3.9968028886505635e-15;;[0.0, 9.0];889
test02_sum8;7.993605777301127e-15;9.992007221626409e-16;[8.0, 16.0];966
test03_nonlin2;4.75175454539571e-14;;[-10.0, 9.0];901
test04_dqmom9;1.9985155011433908;;[-9.0E10, 9.0E10];1169
test05_nonlin1_r4;3.885745367182374e-06;1.165723610154712;[3.3333333333333333E-6, 49999.750001249995];897
test05_nonlin1_test2;1.387767678634466e-16;4.1633030359033983e-16;[0.3333333333333333, 0.49999750001249993];902
test06_sums4_sum1;1.3322676295501878e-15;;[-1.0E-5, 4.00001];912
test06_sums4_sum2;1.3322676295501878e-15;;[-1.0E-5, 4.00001];928
turbine1;8.648499855918151e-14;5.57777522534569e-14;[-58.32912689020381, -1.5505285721480735];1032
turbine2;1.3068946018619626e-13;;[-29.43698909090909, 80.993];1031
turbine3;6.230844036785958e-14;1.3368160444451825e-13;[0.4660958448753463, 40.375126890203816];1034
verhulst;3.718955188047529e-16;1.1810195529610398e-15;[0.3148936170212766, 1.1008264462809918];944
x_by_xy;1.9428902930940275e-15;1.554312234475222e-14;[0.125, 2.0];897
