Function name; Absolute error; Relative error; Real range; Time
azimuth;1.1548454956025657e-13;;[-1.4575237092435849, 1.4575237092435849];3539
bspline3;1.0639637319324417e-16;;[-0.16666666666666666, 0.0];3539
carbonGas;4.5333267718604444e-08;2.1613935763514552e-14;[2097409.2, 3.434323E7];3539
carthesianToPolar_radius;2.305289770426567e-12;1.6300860292686049e-12;[1.414213562373095, 141.42135623730954];3539
carthesianToPolar_theta;4.155286312856552e-11;7.2525844905529e-11;[0.5729386976834481, 89.42706130231065];3540
cav10;2.3418766925686904e-15;;[0.0, 3.0117530822753906];3540
complex_sine_cosine;3.724754450490231e-11;;[-11013.232874703395, 11013.232874703395];3540
complex_square_root;1.6271354747651043e-10;4.683288034152426e-09;[0.03474344227601155, 3.474344227601157];3540
delta;2.7874126402593906e-12;;[-866.023460192256, 1849.293256736768];3540
delta4;1.4359038402744772e-13;;[-75.78594048, 143.16228096];3540
doppler1;4.360706837984888e-13;1.4810955716501744e-11;[-158.7191444098274, -0.02944244059231351];3541
doppler2;1.075265672389031e-12;5.6540122822020885e-11;[-276.0765331640505, -0.019017745606492446];3541
doppler3;1.8015728285702324e-13;4.115710012878121e-13;[-96.29400542724778, -0.43773074947775303];3541
exp1x_32;3.985747750773967e-13;1.98292611326473e-11;[0.020100334168335454, 64.87212707001284];3541
exp1x_log;2.7726229930451107e-12;1.3793914916165385e-10;[0.020100334168335444, 64.87212707001498];3542
exp1x;3.985747750773967e-13;1.98292611326473e-11;[0.020100334168335454, 64.87212707001284];3542
floudas;8.881784197001252e-16;;[0.0, 5.0];3542
floudas1;4.4941828036826337e-13;;[-509.0, 245.0];3542
floudas2;1.1102230246251565e-15;;[-7.0, 0.0];3542
floudas3;1.709743457922741e-14;;[-45.0, 9.0];3542
hartman3;6.647826638901132e-10;0.04944916151854206;[-34248.20170029117, -1.3443760085615166E-8];3543
hartman6;6.984791963007361e-10;0.5853754589876871;[-31675.49951478013, -1.1932157140797187E-9];3543
himmilbeau;2.3252511027749283e-12;;[-1630.0, 3050.0];3543
hypot;2.305289770426567e-12;1.6300860292686049e-12;[1.414213562373095, 141.42135623730954];3543
hypot32;2.305289770426567e-12;1.6300860292686049e-12;[1.414213562373095, 141.42135623730954];3543
i4modified;1.729608985901823e-14;5.469503856943821e-14;[0.3162277660168379, 5.916079783099617];3544
i6;1.2656542480726785e-14;;[-1.0, 1.0];3544
instantaneousCurrent;55.729852714676234;;[-600.7337914172533, 600.7337914172533];3544
intro_example;1.1368683772164187e-10;;[0.0, 999.0];3544
jacobisMethodX1;1.4217294785926192e-08;;[-2999.9999, 13000.0];3544
jacobisMethodX2;1.4217294785926192e-08;;[-4999.9999, 11000.0];3544
jacobisMethodX3;1.4217294785926192e-08;;[-2999.9999, 13000.0];3544
jacobisMethodX4;1.4217294785926192e-08;;[-4999.9999, 11000.0];3544
jetEngineModified;3.587427555018575e-08;;[-1185120.0, 2036155.0];3545
kepler0;1.2740919430598298e-13;;[-35.7792, 159.8176];3545
kepler1;5.650942824786398e-13;;[-490.320768, 282.739712];3545
kepler2;2.906181961748189e-12;;[-871.597824, 1860.323072];3545
logexp;3.3304033073481607e-12;9.929457447679974e-09;[3.354063728956623E-4, 8.000335406372898];3545
matrixDeterminant;3.502975687297294e-12;;[-6000.0, 6000.0];3545
matrixDeterminant2;3.502975687297294e-12;;[-6000.0, 6000.0];3545
matrixDeterminant2modified;2.0193180461092197e-11;;[-25340.0, 31590.0];3546
n_bodyXmodified;461516280.6350298;;[-4.5585750092012453E8, 6.29999935434699];3546
n_bodyZmodified;15383876.02116766;;[-1.5195250029704152E7, 0.2099993543469893];3546
nmse_example_3_1;1.5597202352361772e-14;;[-2.1617777851059192, 3.2850020137537164];3546
nmse_example_3_3;3.4416913763379853e-15;;[-2.0, 2.0];3546
nmse_example_3_4;9.467175996435988e-14;1.8950138511978437e-11;[0.004995834721974068, 19.93313024275495];3546
nmse_example_3_5;8.881784197001252e-16;;[-0.7853981633974484, 1.8925468811915391];3547
nmse_example_3_6;1.4270095374672356e-11;;[-0.6832726086709355, 31.321265257106038];3547
nmse_example_3_7;2.5020399791847866e-11;;[-0.9999546000702375, 22025.46579480672];3547
nmse_example_3_8;8.889556107328783e-11;;[-24.02575092494063, 117.48025172054392];3547
nmse_example_3_9;2.4075345787724405e-08;;[-999.3329999999781, 999.9290851556973];3547
nmse_example_3_10;3.6708705357385864e-09;2.542997666796702e-06;[-9214.944775018344, -0.0014435210003014333];3547
nmse_p42_positive;2.3524501102476223e-08;;[-26458.980337503162, 25827.625302982207];3547
nmse_problem_3_2_1_negative;5.4749840248565186e-08;1.467017548033602e-08;[-61622.7766016838, -3.732050807568877];3548
nmse_problem_3_2_1_positive;1.1274077989441427e-08;;[-12679.491924311229, 11622.776601683796];3548
nmse_problem_3_3_1;1.1113637721318459e-10;;[-999.6, 0.33233433233433235];3548
nmse_problem_3_3_2;8.967612272240796e-14;;[-30.52951165105711, 30.52951165105711];3548
nmse_problem_3_3_3;2.2210827177463822e-08;1.1103192839109953e-08;[-29999.49997499875, -2.000400020004];3548
nmse_problem_3_3_5;3.4416913763379853e-15;;[-2.0, 2.0];3548
nmse_problem_3_3_6;8.88666900069168e-12;;[-2.302485097993713, 11.608235644774554];3548
nmse_problem_3_3_7;5.185978898724159e-11;;[-1.999909200140475, 44050.93158961344];3548
nmse_problem_3_4_1;4.975273526522146e-10;;[0.0, 200.0];3548
nmse_problem_3_4_2;5.951224471016386e-07;;[-748.1741730206688, 0.012495781176780695];3549
nmse_problem_3_4_3;0.0006661368860574315;;[-9.903437551286089, 9.903437551286087];3549
nmse_section_3_5;6.759353780320927e+29;;[-1.0, 2.688117141816136E43];3549
nmse_section_3_11;4.982528410188602e-05;0.9929912855592353;[5.0176960086638916E-5, 209434.94834725597];3549
nonlin1;1.1368683772164187e-10;;[0.0, 999.0];3549
nonlin2;2.4909644921302835e-09;1.8672897242355947e-05;[1.334E-4, 748.875937031297];3549
pendulum;4.6103388033885e-16;;[-2.05024516625, 2.05024516625];3549
pid;5.173765606492076e-15;;[-14.7632824, 14.7632824];3549
polarToCarthesian_x;2.408411568522537e-14;;[-10.0, 10.0];3549
polarToCarthesian_y;2.408411568522537e-14;;[-10.0, 10.0];3550
predatorPrey;1.7842807160419615e-16;4.7865382977823986e-15;[0.03727705922396188, 0.35710168263424846];3550
rigidBody1;2.948752353404416e-13;;[-705.0, 705.0];3550
rigidBody2;3.6066261088762985e-11;;[-58740.0, 58740.0];3550
rump_from_C;3.4509905861806616e+22;;[-6.278198743490848E36, 6.249766911031234E36];3550
rump_revisited;3.2607697071377633e+22;;[-6.278198471216125E36, 6.24976663875651E36];3550
rump_with_pow;3.398561360177573e+22;;[-6.278198743490848E36, 6.249766911031234E36];3550
runge_kutta_4;1.4210854715202004e-14;;[0.0, 100.0];3550
sec4_example;2.4909644921302835e-09;1.8672897242355947e-05;[1.334E-4, 748.875937031297];3551
sine_newton;5.116924445424243e-15;;[-3.571862787668259, 3.571862787668259];3551
sine;1.1296729607621835e-15;;[-2.3011348046703466, 2.3011348046703466];3551
sineOrder3;1.4510731312549944e-15;;[-2.9419084189651277, 2.9419084189651277];3551
sphere;1.199040866595141e-14;;[-19.99999999999947, 19.99999999999947];3551
sqroot;6.071532165918825e-16;7.263141282594482e-16;[0.8359375, 1.5625];3551
sqrt_add;1.3019511689167766e-14;8.236320243355084e-13;[0.015807437428955823, 0.4142135623730951];3551
squareRoot3;1.332263188691396e-15;1.332263188691396e-15;[1.0, 3.3166247903554003];3551
squareRoot3Invalid;1.3322232239595946e-15;1.3322232239595946e-15;[1.0, 3.3166247903554003];3552
sum;5.329070518200751e-15;;[0.0, 9.0];3552
test01_sum3;5.329070518200751e-15;;[0.0, 9.0];3552
test02_sum8;7.993605777301127e-15;9.992007221626409e-16;[8.0, 16.0];3552
test03_nonlin2;4.8627768478582267e-14;;[-10.0, 9.0];3552
test04_dqmom9;1.9985155011433908;;[-9.0E10, 9.0E10];3552
test05_nonlin1_r4;3.885756469431123e-06;1.1657269408293371;[3.3333333333333333E-6, 49999.750001249995];3552
test05_nonlin1_test2;1.387767678634466e-16;4.1633030359033983e-16;[0.3333333333333333, 0.49999750001249993];3552
test06_sums4_sum1;1.3322676295501878e-15;;[-1.0E-5, 4.00001];3552
test06_sums4_sum2;1.3322676295501878e-15;;[-1.0E-5, 4.00001];3552
turbine1;8.920867407895811e-14;5.753436323677033e-14;[-58.32912689020381, -1.5505285721480735];3553
turbine2;1.3613681122574946e-13;;[-29.43698909090909, 80.993];3553
turbine3;6.503211588763618e-14;1.395251998117008e-13;[0.4660958448753463, 40.375126890203816];3553
verhulst;4.0556391733856688e-16;1.2879394672238272e-15;[0.3148936170212766, 1.1008264462809918];3553
x_by_xy;2.2204460492503166e-15;1.7763568394002533e-14;[0.125, 2.0];3553
