Function name; Absolute error; Relative error; Real range; Time
azimuth;9.652414510620666e-14;;[-1.4107459325531062, 1.4575237092435849];94486
bspline3;1.0639637319324417e-16;;[-0.16666666666666666, 0.0];94486
carbonGas;1.4038674432070464e-08;5.783105720552945e-15;[2427532.0408163266, 1.7369463388429753E7];94486
carthesianToPolar_radius;5.059823004576086e-13;3.577835158139442e-13;[1.414213562373095, 141.42135623730954];94486
carthesianToPolar_theta;1.4471494978849643e-11;8.590033649106157e-12;[0.5729386976834481, 89.42706130231065];94487
complex_sine_cosine;2.5646858622633758e-11;;[-11013.232874703395, 11013.232874703395];94487
complex_square_root;3.91877971813224e-11;1.1279192450190645e-09;[0.03474344227601155, 3.474344227601157];94487
delta;1.980433433538388e-12;;[-602.3301414177754, 1489.653527351751];94487
delta4;1.09290591391679e-13;;[-55.8846336, 130.62681429333333];94487
doppler1;2.3763621502109143e-13;1.3041456095416313e-12;[-144.6654293541703, -0.032448688514949225];94488
doppler2;5.079603543489174e-13;3.4267073522867963e-12;[-246.01920783317945, -0.021492403460297578];94488
doppler3;1.0268837900545223e-13;5.178733026124642e-14;[-87.47486354495834, -0.48420514889144944];94488
exp1x_32;1.2866171843683167e-13;2.2190043550800964e-12;[0.05798173317789073, 18.92624598411834];94489
exp1x_log;5.924136848500334e-13;1.0217246922103567e-11;[0.05798173317789064, 18.926245984118964];94489
exp1x;1.2866171843683167e-13;2.2190043550800964e-12;[0.05798173317789073, 18.92624598411834];94489
floudas;6.661338147750939e-16;;[0.0, 3.6666666666666665];94489
floudas1;4.4364512064021255e-13;;[-497.0, 14.777777777777779];94489
floudas2;1.1102230246251565e-15;;[-5.666666666666667, 0.0];94490
floudas3;1.0436096431476471e-14;;[-29.0, 1.0];94490
himmilbeau;1.0000889005823412e-12;;[-313.7037037037037, 890.0];94490
hypot;5.059823004576086e-13;3.577835158139442e-13;[1.414213562373095, 141.42135623730954];94490
hypot32;5.059823004576086e-13;3.577835158139442e-13;[1.414213562373095, 141.42135623730954];94490
i4modified;5.020183678646524e-15;1.587521469692582e-14;[0.3162277660168379, 5.916079783099617];94491
i6;1.2656542480726785e-14;;[-1.0, 1.0];94491
instantaneousCurrent;0.012364227849397625;;[-208.2443845030256, 208.2443845030256];94491
intro_example;2.8421539240532025e-11;;[0.0, 333.0];94491
jacobisMethodX1;1.1552393375267562e-08;;[-2999.9999, 13000.0];94491
jacobisMethodX2;9.775857641927455e-09;;[-4999.9999, 11000.0];94491
jacobisMethodX3;1.1552515425785402e-08;;[-2999.9999, 13000.0];94491
jacobisMethodX4;9.775613540891773e-09;;[-4999.9999, 11000.0];94492
jetEngineModified;1.2965539272766595e-10;;[-10539.55073292103, 23589.17695473251];94492
kepler0;9.698020164705667e-14;;[-8.235377777777778, 138.4622222222222];94492
kepler1;3.789129800048209e-13;;[-333.59662933333334, 122.64905955555555];94492
kepler2;2.025230945908637e-12;;[-607.0115460740741, 1498.5579377777779];94492
logexp;2.1810703067292724e-13;5.975706343639462e-13;[3.354063728956623E-4, 8.000335406372898];94492
matrixDeterminant;3.502975687297294e-12;;[-6000.0, 6000.0];94493
matrixDeterminant2;3.502975687297294e-12;;[-6000.0, 6000.0];94493
matrixDeterminant2modified;1.9889090374647367e-11;;[-25100.0, 31590.0];94493
n_bodyXmodified;23954122.954310246;;[-1.5200315133944386E8, 6.297417172739533];94493
n_bodyZmodified;2394614.0907341135;;[-1.5195250029704152E7, 0.2099993543469893];94493
nmse_example_3_1;1.437651172079942e-14;;[-0.8254245483461318, 2.050203344859953];94494
nmse_example_3_3;3.4416913763379853e-15;;[-2.0, 1.9825077869863734];94494
nmse_example_3_4;3.6929410021706914e-14;3.348994521145082e-12;[0.005705644125213468, 14.101419947171724];94494
nmse_example_3_5;5.284661597215745e-16;3.724292665522796e-15;[0.14189705460416369, 1.3734007669450161];94494
nmse_example_3_6;1.415796451244031e-11;;[-0.4518325812238886, 31.142429088656197];94494
nmse_example_3_7;2.5020399791847866e-11;;[-0.9999546000702375, 22025.46579480672];94494
nmse_example_3_8;2.96255053399252e-11;;[-8.409654924802453, 36.05604031703433];94494
nmse_example_3_9;1.4443199577950498e-10;;[-998.0023297824903, 998.172409200396];94495
nmse_example_3_10;9.043200943200148e-11;2.6045581416140603e-08;[-406.6187335729867, -0.0034720672188934213];94495
nmse_p42_positive;7.837119582900882e-09;;[-8812.904599031674, 8716.333077898682];94495
nmse_problem_3_2_1_negative;5.379479946435701e-08;3.5312527136548343e-09;[-60550.61374178922, -3.732050807568877];94495
nmse_problem_3_2_1_positive;3.7232751809274614e-09;;[-4184.965256653798, 4037.1471777423017];94495
nmse_problem_3_3_1;1.1113604481141315e-10;1.1132129623321072e-10;[-999.3336294980008, -0.16674998611342554];94495
nmse_problem_3_3_2;4.4412320121572934e-14;;[-15.881789214041595, 15.881789214041548];94495
