Function name; Absolute error; Relative error; Real range; Time
bspline3;1.0639637319324417e-16;;[-0.16666666666666666, 0.0];149331
carbonGas;3.913245008146802e-08;1.8657518085392216e-14;[2097409.2, 3.434323E7];149331
complex_sine_cosine;3.724754450490231e-11;;[-11013.232874703395, 11013.232874703395];149332
complex_square_root;1.6271354747651043e-10;4.683288034152426e-09;[0.03474344227601155, 3.474344227601157];149333
doppler1;4.1911988101104756e-13;1.4235228893370562e-11;[-158.7191444098274, -0.02944244059231351];149334
doppler2;1.0471093297316197e-12;5.505959283492299e-11;[-276.0765331640505, -0.019017745606492446];149334
doppler3;1.682927721863026e-13;3.844664154553662e-13;[-96.29400542724778, -0.43773074947775303];149334
floudas1;4.4941828036826337e-13;;[-509.0, 0.0634765625];149336
floudas2;1.1102230246251565e-15;;[-4.9697265625, 0.0];149336
floudas3;1.532107773982716e-14;;[-45.0, 4.0078125];149336
kepler0;9.063860773039779e-14;4.3457894586374306e-15;[20.85664954390506, 95.90993040043205];149336
kepler1;4.5220254207833936e-13;;[-452.570616588663, 30.167869944123886];149336
kepler2;2.2374660346713427e-12;;[-645.0601225429688, 1287.5673739765625];149337
predatorPrey;1.7488154636295659e-16;4.691398677998233e-15;[0.03727705922396188, 0.35710168263424846];149337
rigidBody1;2.948752353404416e-13;;[-705.0, 705.0];149337
rigidBody2;3.6066261088762985e-11;;[-58740.0, 58740.0];149337
turbine1;8.648499855918151e-14;5.57777522534569e-14;[-58.32912689020381, -1.5505285721480735];149338
turbine2;1.3068946018619626e-13;;[-29.43698909090909, 80.993];149338
turbine3;6.230844036785958e-14;1.3368160444451825e-13;[0.4660958448753463, 40.375126890203816];149338
verhulst;3.718955188047529e-16;1.1810195529610398e-15;[0.3148936170212766, 1.1008264462809918];149339
x_by_xy;1.776356839400254e-15;8.960538933723448e-15;[0.1982421875, 0.80615234375];149339
