Function name; Absolute error; Relative error; Real range; Time
alphaBlending_allsame;3.140343540763979e-13;;[-253.26, 530.05];13422
avg_allsame;4.618527782440651e-13;;[-62.54, 15.02];13422
controllerTora_allsame;1.419126080884856e-12;;[-415.77957423117056, 462.2278361146636];13422
convolve2d_size3_allsame;3.149551019987484e-10;;[-275037.3135, 150013.2015];13422
fftmatrix_allsame;4.285449772822858e-12;;[-4694.57, 5747.24];13422
fftvector_allsame;2.851625602318109e-12;;[-2777.27, 3667.37];13422
goubault_allsame;7.460698725481052e-14;;[-330.3257142857143, 359.03];13423
harmonic_allsame;1.1535838256859776e-11;;[-618.1768284831326, 1157.72];13423
heat1d_allsame;7.327471962526033e-15;;[0.0, 2.0];13423
lorentz_allsame;4.333000977002005e-14;;[-1.5204671912014405, 12.918956146618994];13423
lyapunov_allsame;9.89569366565524e-13;;[0.0, 692.6593206500693];13423
nonlin3_allsame;7.815482578469343e-14;;[-7.588962536789108, 9.022652758841732];13424
pendulum_allsame;2.2697340542511255e-13;;[-9.903325, 9.903325];13424
roux1_allsame;7.208678098891141e-14;;[-306.5999999999999, 306.5999999999999];13424
variance_allsame;1.6687391735104064e-09;;[-105690.01, 105690.01];13424
alphaBlending;3.1321167881515065e-13;;[-253.23, 526.49];13424
avg;1.4219736499399004e-13;;[-33.4044, 0.5174];13424
controllerTora;1.7375367109277387e-13;;[-22.398536116, 35.793614628];13424
convolve2d_size3;4.065420000642916e-11;;[-36749.4112, 44735.2118];13425
fftmatrix;1.884610245639351e-12;;[-2253.418044722025, 2018.77];13425
fftvector;1.8649370936429933e-12;;[-1556.72, 2030.39];13425
goubault;8.338911158883404e-14;;[-322.5472706985474, 359.03];13425
harmonic;5.816798293034608e-12;;[-878.3784, 878.3784];13425
heat1d;4.940492445222608e-15;;[0.0, 1.608828696127166];13425
lorentz;3.770751025590077e-14;;[-0.7023315988258552, 11.56190251678856];13425
lyapunov;1.6844062811216534e-13;;[0.0, 66.5827661];13425
nonlin1;5.7617496616392e-12;;[-44.14693269282945, 43.98568548353692];13426
nonlin3;2.7794049148390874e-14;;[-1.8774519845112627, 2.7803037677517692];13426
pendulum;1.730719966780659e-13;;[-2.12847621674072, 9.174269834972836];13426
roux1;2.0664136538263916e-13;;[-243.4038640599988, 243.4038640599988];13426
variance;3.581492484116215e-10;;[-14182.3188373958, 32878.0606493865];13426
