Function name; Absolute error; Relative error; Real range; Time
determinant;1.9217761491052697e-09;;;83425
solveEquationX;4.142035700897964e-15;;;83425
solveEquationY;4.675349927357128e-15;;;83425
solveEquationZ;5.163524705181817e-15;;;83425
solveEquationsVector;4.72929820976945e-15;;;83426
_add;2.176037128265307e-15;;;83426
radius;3.5699443522945146e-11;;;83426
divideRe;3.106358390597793e-08;;;83426
divideIm;1.6719275461906195e-08;;;83426
reciprocalRe;8.146314323038656e-14;;;83426
reciprocalIm;8.146314323038656e-14;;;83426
impedanceIm;2.977680533462615e-14;;;83426
instantVoltage;2.1832762651253357e-11;;;83427
computeCurrentRe;6.118021475989196e-10;;;83427
computeCurrentIm;6.710563243483105e-10;;;83427
computeInstantCurrent;0.003338808244302116;;;83427
approxEnergy;0.10016425140953455;;;83427
computeRadiusVector;3.578330185246922e-11;;;83427
computeDivideVector;1.2241011433677547e-08;;;83427
computeReciprocalRadiusVector;3.315017992082885e-14;;;83427
