Function name; Absolute error; Relative error; Real range; Time
bspline3;9.714451465470121e-17;;[-0.16666666666666666, 0.0];133889
complex_sine_cosine;3.724754450490231e-11;;[-11013.232874703395, 11013.232874703395];133889
doppler1;1.980501095711251e-13;6.726687923515067e-12;[-158.7191444098274, -0.02944244059231351];133890
doppler2;3.874656039583571e-13;2.0373897725610582e-11;[-276.0765331640505, -0.019017745606492446];133890
doppler3;9.787777205044545e-14;2.2360268765039075e-13;[-96.29400542724778, -0.43773074947775303];133891
jacobisMethodX1;1.1551333112279045e-08;;[-2999.9999, 13000.0];133891
kepler0;6.336264846140694e-14;;[-28.0384, 140.9376];133892
kepler1;3.2418121520549905e-13;;[-501.459968, 282.739712];133892
kepler2;1.707691410501866e-12;;[-911.479936, 1860.323072];133892
predatorPrey;1.6472768398036668e-16;4.419009637822473e-15;[0.03727705922396188, 0.35710168263424846];133892
rigidBody1;1.971756091734278e-13;;[-705.0, 705.0];133893
rigidBody2;2.899280815427119e-11;;[-58740.0, 58740.0];133893
turbine1;8.021557111621937e-14;5.1734339216393936e-14;[-58.32912689020381, -1.5505285721480735];133893
turbine2;1.2349922886986813e-13;;[-29.43698909090909, 80.993];133893
turbine3;5.685430749602335e-14;;[-2.345498700579199, 45.06111779929472];133894
verhulst;3.718955188047529e-16;1.1810195529610398e-15;[0.3148936170212766, 1.1008264462809918];133894
