Function name; Absolute error; Relative error; Real range; Time
bspline3;1.1102230246251568e-16;;;20425
carbonGas;4.370365291883624e-08;;;20426
carthesianToPolar_radius;3.1558858419578744e-12;;;20426
carthesianToPolar_theta;5.879501294190203e-14;;;20426
complex_sine_cosine;4.890857895302656e-12;;;20426
complex_square_root;2.2601410683802237e-10;;;20427
delta;4.920736098586534e-12;;;20427
delta4;2.429057366271082e-13;;;20427
doppler1;5.093604809813439e-13;;;20427
doppler2;1.322374394482373e-12;;;20427
doppler3;2.134031338121358e-13;;;20427
exp1x_32;5.085139718556636e-13;;;20427
exp1x_log;2.799394920449701e-12;;;20427
exp1x;5.085139718556636e-13;;;20427
floudas;1.1102230246251565e-15;;;20428
floudas1;6.351585923880525e-13;;;20428
floudas2;1.2212453270876722e-15;;;20428
floudas3;2.0983215165415462e-14;;;20428
hartman3;1.7348962015817222;;;20428
himmilbeau;3.2596148002994612e-12;;;20428
hypot;3.1558858419578744e-12;;;20428
hypot32;3.1558858419578744e-12;;;20428
i4modified;2.172181761053257e-14;;;20428
i6;1.6875389974302525e-14;;;20428
kepler0;2.095699613846592e-13;;;20429
kepler1;1.1931841967793852e-12;;;20429
kepler2;4.160285044463311e-12;;;20429
nmse_problem_3_3_2;1.3427346310127978e-13;;;20429
nmse_problem_3_3_3;3.3312242815171656e-08;;;20429
nmse_problem_3_3_5;4.2188474935755996e-15;;;20429
nmse_problem_3_4_2;1.1418142876146624e-06;;;20429
nmse_problem_3_4_3;0.06091857388331659;;;20429
polarToCarthesian_x;2.536810308655383e-14;;;20429
polarToCarthesian_y;2.536810308655383e-14;;;20429
predatorPrey;2.5408512646822165e-16;;;20430
rigidBody1;5.079270337660093e-13;;;20430
rigidBody2;6.475153746521303e-11;;;20430
turbine1;1.3573377388243184e-13;;;20430
turbine2;1.9587270477498833e-13;;;20430
turbine3;9.915507992450592e-14;;;20430
verhulst;5.56201943778606e-16;;;20430
x_by_xy;2.4147350785597238e-15;;;20430
